bet2	bet2p	bet2n	bet4	bet4p	bet4n	energy	epairp	epairn	ferp	fern	gapp	gapn	iter	rmsc	rms	rmsp	rmsn	N_boundp	N_boundn	j	Nmass	Ncharge
1.000000E-03	2.000000E-03	1.000000E-03	-0.000000E+00	0.000000E+00	-1.000000E-03	-340.1852	-9.200000E+00	-7.800000E+00	-5.230000E+00	-1.214000E+01	-2.150000E+00	-2.054000E+00	8001	3.521200E+00	3.402800E+00	3.450200E+00	3.400800E+00	1.977902E+01	1.997127E+01	7.438731E+00	40	20
1.100000E-02	1.100000E-02	1.200000E-02	-1.000000E-03	-1.000000E-03	-2.000000E-03	-362.7194	-8.400000E+00	-1.330000E+01	-7.250000E+00	-1.014000E+01	-2.044000E+00	-2.611000E+00	3790	3.545100E+00	3.458200E+00	3.478000E+00	3.482500E+00	1.985687E+01	2.188738E+01	7.167922E+00	42	20
1.100000E-02	1.000000E-02	1.100000E-02	-2.000000E-03	-2.000000E-03	-3.000000E-03	-382.1533	-4.700000E+00	-1.420000E+01	-9.300000E+00	-8.770000E+00	-1.510000E+00	-2.581000E+00	5495	3.540000E+00	3.485700E+00	3.476700E+00	3.530600E+00	1.994950E+01	2.383153E+01	7.340637E+00	44	20
2.000000E-03	1.000000E-03	3.000000E-03	-2.000000E-03	-2.000000E-03	-2.000000E-03	-399.4849	-1.100000E+00	-9.800000E+00	-1.140000E+01	-7.840000E+00	-7.130000E-01	-2.000000E+00	8001	3.516800E+00	3.490100E+00	3.456900E+00	3.547500E+00	1.999450E+01	2.571659E+01	7.863394E+00	46	20
0.000000E+00	0.000000E+00	1.000000E-03	-1.000000E-03	-1.000000E-03	-1.000000E-03	-415.4861	-4.000000E-01	-9.000000E-01	-1.365000E+01	-6.990000E+00	-5.300000E-01	-5.660000E-01	8001	3.480400E+00	3.469200E+00	3.423400E+00	3.528100E+00	1.999941E+01	2.797948E+01	8.692316E+00	48	20
-0.000000E+00	0.000000E+00	-0.000000E+00	-1.000000E-03	-2.000000E-03	1.000000E-03	-426.7111	-6.000000E-01	-6.700000E+00	-1.498000E+01	-5.080000E+00	-5.760000E-01	-1.499000E+00	8001	3.530700E+00	3.561400E+00	3.476900E+00	3.643000E+00	1.999997E+01	2.958402E+01	8.072831E+00	50	20
-9.000000E-03	-9.000000E-03	-1.000000E-02	-2.000000E-03	-2.000000E-03	-3.000000E-03	-507.6665	-4.000000E-01	-1.900000E+00	-5.710000E+00	-1.077000E+01	-4.690000E-01	-7.570000E-01	8001	3.732700E+00	3.638000E+00	3.658000E+00	3.643400E+00	2.797824E+01	2.999054E+01	8.507581E+00	58	28
-8.000000E-03	-7.000000E-03	-8.000000E-03	-2.000000E-03	-2.000000E-03	-2.000000E-03	-527.7386	-5.000000E-01	-2.400000E+00	-7.050000E+00	-9.320000E+00	-4.780000E-01	-8.340000E-01	8001	3.760700E+00	3.683500E+00	3.688000E+00	3.703000E+00	2.798136E+01	3.197859E+01	8.308610E+00	60	28
-3.300000E-02	-3.200000E-02	-3.300000E-02	-6.000000E-03	-5.000000E-03	-7.000000E-03	-544.9232	-7.000000E-01	-9.200000E+00	-8.330000E+00	-8.470000E+00	-5.130000E-01	-1.652000E+00	5269	3.821400E+00	3.765000E+00	3.749700E+00	3.800900E+00	2.799645E+01	3.385146E+01	7.712756E+00	62	28
-3.000000E-02	-3.100000E-02	-3.000000E-02	-1.100000E-02	-9.000000E-03	-1.300000E-02	-561.0317	-9.000000E-01	-1.360000E+01	-9.610000E+00	-7.800000E+00	-5.550000E-01	-2.003000E+00	4303	3.867200E+00	3.828700E+00	3.796200E+00	3.876300E+00	2.799560E+01	3.573664E+01	7.353331E+00	64	28
-1.000000E-03	-1.000000E-03	-1.000000E-03	-1.000000E-02	-9.000000E-03	-1.100000E-02	-915.245	-6.000000E-01	-1.730000E+01	-3.290000E+00	-9.890000E+00	-3.960000E-01	-1.826000E+00	8001	4.541200E+00	4.470700E+00	4.477600E+00	4.478000E+00	4.992837E+01	5.774878E+01	6.664467E+00	108	50
