z,symbol,n,a,radius_val,radius_unc,radius_preliminary_val,radius_preliminary_unc
0,n,1,1,-0.1149,0.0027,,
1,H,0,1,0.8783,0.0086,,
1,H,1,2,2.1421,0.0088,,
1,H,2,3,1.7591,0.0363,,
2,He,1,3,1.9661,0.0030,,
2,He,2,4,1.6755,0.0028,,
2,He,4,6,2.0660,0.0111,,
2,He,6,8,1.9239,0.0306,,
3,Li,3,6,2.5890,0.0390,,
3,Li,4,7,2.4440,0.0420,,
3,Li,5,8,2.3390,0.0440,,
3,Li,6,9,2.2450,0.0460,,
3,Li,8,11,2.4820,0.0430,,
4,Be,3,7,2.6460,0.0160,2.6460,0.0160
4,Be,5,9,2.5190,0.0120,2.5190,0.0120
4,Be,6,10,2.3550,0.0170,2.3610,0.0170
4,Be,7,11,2.4630,0.0150,2.4660,0.0150
5,B,5,10,2.4277,0.0499,,
5,B,6,11,2.4060,0.0294,,
6,C,6,12,2.4702,0.0022,,
6,C,7,13,2.4614,0.0034,,
6,C,8,14,2.5025,0.0087,,
7,N,7,14,2.5582,0.0070,,
7,N,8,15,2.6058,0.0080,,
8,O,8,16,2.6991,0.0052,,
8,O,9,17,2.6932,0.0075,,
8,O,10,18,2.7726,0.0056,,
9,F,10,19,2.8976,0.0025,,
10,Ne,7,17,3.0413,0.0088,,
10,Ne,8,18,2.9714,0.0076,,
10,Ne,9,19,3.0082,0.0040,,
10,Ne,10,20,3.0055,0.0021,,
10,Ne,11,21,2.9695,0.0033,,
10,Ne,12,22,2.9525,0.0040,,
10,Ne,13,23,2.9104,0.0071,,
10,Ne,14,24,2.9007,0.0078,,
10,Ne,15,25,2.9316,0.0088,,
10,Ne,16,26,2.9251,0.0100,,
10,Ne,18,28,2.9642,0.0134,,
11,Na,9,20,2.9718,0.0420,,
11,Na,10,21,3.0136,0.0284,,
11,Na,11,22,2.9852,0.0169,,
11,Na,12,23,2.9936,0.0021,,
11,Na,13,24,2.9735,0.0169,,
11,Na,14,25,2.9769,0.0252,,
11,Na,15,26,2.9928,0.0331,,
11,Na,16,27,3.0136,0.0467,,
11,Na,17,28,3.0400,0.0581,,
11,Na,18,29,3.0922,0.0723,,
11,Na,19,30,3.1180,0.0884,,
11,Na,20,31,3.1704,0.0893,,
12,Mg,12,24,3.0570,0.0016,3.0568,0.0018
12,Mg,13,25,3.0284,0.0022,3.0288,0.0020
12,Mg,14,26,3.0337,0.0018,3.0337,0.0018
13,Al,14,27,3.0610,0.0031,,
14,Si,14,28,3.1224,0.0024,,
14,Si,15,29,3.1176,0.0052,,
14,Si,16,30,3.1336,0.0040,,
15,P,16,31,3.1889,0.0019,,
16,S,16,32,3.2611,0.0018,,
16,S,18,34,3.2847,0.0021,,
16,S,20,36,3.2985,0.0024,,
17,Cl,18,35,3.3654,0.0191,,
17,Cl,20,37,3.3840,0.0170,,
18,Ar,14,32,3.3468,0.0062,,
18,Ar,15,33,3.3438,0.0058,,
18,Ar,16,34,3.3654,0.0040,,
18,Ar,17,35,3.3636,0.0042,,
18,Ar,18,36,3.3905,0.0023,,
18,Ar,19,37,3.3908,0.0022,,
18,Ar,20,38,3.4028,0.0019,,
18,Ar,21,39,3.4093,0.0031,,
18,Ar,22,40,3.4274,0.0026,,
18,Ar,23,41,3.4251,0.0030,,
18,Ar,24,42,3.4414,0.0041,,
18,Ar,25,43,3.4354,0.0039,,
18,Ar,26,44,3.4454,0.0046,,
18,Ar,28,46,3.4377,0.0044,,
19,K,19,38,3.4264,0.0051,3.4236,0.0259
19,K,20,39,3.4349,0.0019,3.4361,0.0223
19,K,21,40,3.4381,0.0028,3.4324,0.0188
